,Наименование продукта,Категория продукта,Подкатегория продукта,Безопасность,Качество,Общий балл,Сайт
0,"
                        Пищевой концентрат, полуфабрикат мучного изделия: мука блинная «Каждый день»                    ",Бакалея,Мука блинная,5.000,3.740,3.4180,https://rskrf.ru
0,"
                        Смесь для приготовления блинов «Домашних особых» из муки второго сорта твердой пшеницы «Мелькомбинат №3»                    ",Бакалея,Мука блинная,5.000,2.460,3.0220,https://rskrf.ru
0,"
                        Перец черный «Индана»                    ",Бакалея,Перец чёрный молотый,5.000,4.340,4.8020,https://rskrf.ru
0,"
                        Перец черный молотый «Магия востока»                    ",Бакалея,Перец чёрный молотый,5.000,4.040,4.7120,https://rskrf.ru
0,"
                         Перец черный молотый Kamis                    ",Бакалея,Перец чёрный молотый,5.000,4.020,4.7060,https://rskrf.ru
0,"
                        Перец черный молотый Cykoria S.A.                    ",Бакалея,Перец чёрный молотый,5.000,4.000,4.7000,https://rskrf.ru
0,"
                        Перец черный молотый «Айдиго»                    ",Бакалея,Перец чёрный молотый,5.000,3.960,4.6880,https://rskrf.ru
0,"
                        Пряность, перец черный молотый «Волшебное дерево»                    ",Бакалея,Перец чёрный молотый,5.000,3.880,4.6640,https://rskrf.ru
0,"
                        Пряность. черный перец молотый Santa Maria                    ",Бакалея,Перец чёрный молотый,5.000,3.800,4.6400,https://rskrf.ru
0,"
                        Пряности пищевкусовые молотые: перец чёрный «Вкусвилл»                    ",Бакалея,Перец чёрный молотый,5.000,3.600,4.5800,https://rskrf.ru
0,"
                        Пряность, перец черный молотый «Вкусмастер»                    ",Бакалея,Перец чёрный молотый,5.000,3.200,4.4600,https://rskrf.ru
0,"
                        Пряности фасованные: перец черный молотый «Красная цена»                    ",Бакалея,Перец чёрный молотый,5.000,3.520,4.4560,https://rskrf.ru
0,"
                        Пряность, перец черный молотый «Мастер Дак»                    ",Бакалея,Перец чёрный молотый,5.000,3.420,4.4260,https://rskrf.ru
0,"
                        Перец черный молотый «То, что надо!»                    ",Бакалея,Перец чёрный молотый,5.000,3.400,4.4200,https://rskrf.ru
0,"
                        Перец черный молотый «Трапеза во главе стола»                    ",Бакалея,Перец чёрный молотый,5.000,3.340,4.4020,https://rskrf.ru
0,"
                        Перец черный молотый                    ",Бакалея,Перец чёрный молотый,5.000,2.980,4.3940,https://rskrf.ru
0,"
                        Пряности фасованные: перец черный молотый «Круглый год»                    ",Бакалея,Перец чёрный молотый,5.000,3.100,4.3300,https://rskrf.ru
0,"
                        Пряности. Перец черный молотый «Роллтон»                    ",Бакалея,Перец чёрный молотый,5.000,3.050,4.3150,https://rskrf.ru
0,"
                        Перец черный молотый «Натрули»                    ",Бакалея,Перец чёрный молотый,5.000,2.660,4.2980,https://rskrf.ru
0,"
                        Пряности пищевкусовые, перец черный молотый Globus                    ",Бакалея,Перец чёрный молотый,5.000,3.800,3.6400,https://rskrf.ru
0,"
                        Пряности пищевкусовые (молотые), перец черный молотый «Каждый день»                    ",Бакалея,Перец чёрный молотый,5.000,0.000,2.5000,https://rskrf.ru
0,"
                        Перец черный молотый «Кухенвиль»                    ",Бакалея,Перец чёрный молотый,5.000,0.000,2.5000,https://rskrf.ru
0,"
                        Перец чёрный молотый «Добрый гном»                    ",Бакалея,Перец чёрный молотый,5.000,0.000,2.4000,https://rskrf.ru
0,"
                        Перец черный «Магета»                    ",Бакалея,Перец чёрный молотый,0.000,4.040,2.2120,https://rskrf.ru
0,"
                        Перец черный молотый Kotanyi                    ",Бакалея,Перец чёрный молотый,0.000,3.600,2.0800,https://rskrf.ru
0,"
                        Пряность. Перец чёрный молотый Capo Di Gusto                    ",Бакалея,Перец чёрный молотый,0.000,3.340,2.0020,https://rskrf.ru
0,"
                        Перец черный молотый «Гранум»                    ",Бакалея,Перец чёрный молотый,0.000,2.860,1.8580,https://rskrf.ru
0,"
                        Перец черный молотый «Царская приправа»                    ",Бакалея,Перец чёрный молотый,0.000,3.200,0.9600,https://rskrf.ru
0,"
                        Перец черный молотый «Восточный гость»                    ",Бакалея,Перец чёрный молотый,0.000,2.920,0.8760,https://rskrf.ru
0,"
                        Перец черный молотый «Бабушкин хуторок»                    ",Бакалея,Перец чёрный молотый,0.000,0.000,0.0000,https://rskrf.ru
0,"
                        Перец черный молотый «Приправыч»                    ",Бакалея,Перец чёрный молотый,0.000,4.310,0.0000,https://rskrf.ru
0,"
                        Пряности, перец черный молотый «Русский аппетит»                    ",Бакалея,Перец чёрный молотый,0.000,4.010,0.0000,https://rskrf.ru
0,"
                        Лапша быстрого приготовления, с куриным бульоном                    ",Бакалея,Лапша быстрого приготовления,5.000,3.500,3.9875,https://rskrf.ru
0,"
                        Лапша быстрого приготовления «Доширак», со вкусом курицы                    ",Бакалея,Лапша быстрого приготовления,5.000,3.500,3.9875,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления, с пищевыми компонентами. Лапша быстрого приготовления с куриным бульоном.                    ",Бакалея,Лапша быстрого приготовления,5.000,3.500,3.9250,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления, с пищевыми компонентами. Вермишель быстрого приготовления с куриным бульоном.                    ",Бакалея,Лапша быстрого приготовления,5.000,3.380,3.8890,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления. Вермишель с куриным вкусом.                    ",Бакалея,Лапша быстрого приготовления,5.000,3.380,3.8890,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления «БигЛанч». Лапша с тушёной курицей и луком.                    ",Бакалея,Лапша быстрого приготовления,5.000,1.080,3.8240,https://rskrf.ru
0,"
                        Изделия макаронные, быстрого приготовления, яичные. Куриная лапша по-домашнему                    ",Бакалея,Лапша быстрого приготовления,5.000,2.500,3.6875,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления. Лапша с пряным соусом, с курицей                    ",Бакалея,Лапша быстрого приготовления,5.000,2.660,3.6730,https://rskrf.ru
0,"
                        Корейская лапша, вкус курицы                    ",Бакалея,Лапша быстрого приготовления,5.000,3.500,3.5500,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления, с пищевыми компонентами. Вермишель быстрого приготовления с куриным бульоном.                    ",Бакалея,Лапша быстрого приготовления,5.000,2.780,3.3340,https://rskrf.ru
0,"
                        Изделия макаронные, быстрого приготовления, с пищевыми компонентами. Изделия макаронные быстрого приготовления в комплекте с сухими вкусовыми приправа                    ",Бакалея,Лапша быстрого приготовления,5.000,3.500,3.3000,https://rskrf.ru
0,"
                        Лапша со вкусом курицы                    ",Бакалея,Лапша быстрого приготовления,5.000,2.660,3.2980,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления «Золотистая жатва». Лапша яичная, с куриным вкусом и овощами.                    ",Бакалея,Лапша быстрого приготовления,5.000,2.500,3.2500,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления «Вот это да!». Вермишель быстрого приготовления со вкусом курицы.                    ",Бакалея,Лапша быстрого приготовления,5.000,2.660,2.6730,https://rskrf.ru
0,"
                        Изделия макаронные быстрого приготовления, с пищевыми компонентами. Вермишель быстрого приготовления с куриным бульоном.                    ",Бакалея,Лапша быстрого приготовления,5.000,2.380,2.5890,https://rskrf.ru
0,"
                        Лапша быстрого приготовления со вкусом курицы                    ",Бакалея,Лапша быстрого приготовления,5.000,3.380,2.2640,https://rskrf.ru
0,"
                        Лапша быстрого приготовления. Вкус курицы.                    ",Бакалея,Лапша быстрого приготовления,5.000,2.960,0.0000,https://rskrf.ru
0,"
                        Сухие продукты экструзионной технологии (СПЭТ) - шарики кукурузные, шоколадные                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,4.025,4.5125,https://rskrf.ru
0,"
                        Завтраки сухие: шарики шоколадные Milly Magic                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.660,4.3300,https://rskrf.ru
0,"
                        Сухие завтраки. Шарики мультизерновые, глазированные шоколадные, «Кузя Лакомкин»                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.488,4.2438,https://rskrf.ru
0,"
                        Завтраки сухие, экструзионные, из зернового сырья, обогащенные витаминами и минеральными веществами, глазированные шарики шоколадные                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.460,4.2300,https://rskrf.ru
0,"
                        Завтраки сухие, фигурные, глазированные. Шарики, вкус шоколада                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.173,4.0863,https://rskrf.ru
0,"
                        Завтраки готовые: шарики шоколадные                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.080,4.0400,https://rskrf.ru
0,"
                        Шарики со вкусом шоколада                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.210,3.4050,https://rskrf.ru
0,"
                        Завтраки сухие Crunchy тм Mamori: шарики шоколадные, хрустящие                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.808,3.0038,https://rskrf.ru
0,"
                        Сухие завтраки «Десять витаминов» Choca (шарики со вкусом молочного шоколада)                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.633,2.9163,https://rskrf.ru
0,"
                        Сухие завтраки глазированные, без добавления витаминов, сладкие: шоколадные шарики.                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.245,2.7225,https://rskrf.ru
0,"
                        Завтраки сухие. Хлопья кукурузные                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.518,2.2588,https://rskrf.ru
0,"
                        Продукты экструзионной технологии сухие. Снеки хрустящие, фигурные, глазированне шоколадным сиропом: шарики                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.293,2.1463,https://rskrf.ru
0,"
                        Завтраки сухие, зерновые. Шарики шоколадные                    ",Бакалея,Сухие завтраки (шарики шоколадные),5.000,3.170,2.0850,https://rskrf.ru
0,"
                        Nesquik. Готовый шоколадный завтрак, обогащенный витаминами и минеральными веществами                    ",Бакалея,Сухие завтраки (шарики шоколадные),0.000,3.723,0.0000,https://rskrf.ru
0,"
                        Продукт экструзионной технологии, сухой. Снеки хрустящие, глазированные шоколадным сиропом: шарики                    ",Бакалея,Сухие завтраки (шарики шоколадные),0.000,3.353,0.0000,https://rskrf.ru
0,"
                        Сухие завтраки глазированные: шарики со вкусом шоколада                    ",Бакалея,Сухие завтраки (шарики шоколадные),0.000,3.215,0.0000,https://rskrf.ru
0,"
                        Завтраки сухие, экструзионные, из зернового сырья, обогащенные витаминми и минеральными веществами, глазированные. Шарики шоколадные.                    ",Бакалея,Сухие завтраки (шарики шоколадные),0.000,3.420,0.0000,https://rskrf.ru
0,"
                        Сухой завтрак: шарики ароматизированные, глазированные, с какао «О’кей»                    ",Бакалея,Сухие завтраки (шарики шоколадные),0.000,3.110,0.0000,https://rskrf.ru
0,"
                        Fine Life Крупа рисовая. рис шлифованный. первый сорт                    ",Бакалея,Рис круглозерный,5.000,5.000,5.0000,https://rskrf.ru
